epoch,iso8601,cpu_percent,rss_kb,rss_mb,net_device,rx_bps,tx_bps,rx_mbps,tx_mbps
1777994989,2026-05-05T15:29:49Z,0.1,11596,11.32,lo,0,0,0,0
1777994990,2026-05-05T15:29:50Z,3.3,110520,107.93,lo,24693779,24693779,197.550,197.550
1777994991,2026-05-05T15:29:51Z,6.1,110520,107.93,lo,23781741,23781741,190.254,190.254
1777994992,2026-05-05T15:29:52Z,8.6,110520,107.93,lo,23778568,23778568,190.229,190.229
1777994993,2026-05-05T15:29:53Z,10.9,110520,107.93,lo,23747356,23747356,189.979,189.979
1777994994,2026-05-05T15:29:54Z,13.1,110520,107.93,lo,23722731,23722731,189.782,189.782
1777994995,2026-05-05T15:29:55Z,15.0,110520,107.93,lo,23804732,23804732,190.438,190.438
1777994996,2026-05-05T15:29:56Z,16.8,110520,107.93,lo,23754668,23754668,190.037,190.037
1777994997,2026-05-05T15:29:57Z,18.5,110520,107.93,lo,23816882,23816882,190.535,190.535
1777994998,2026-05-05T15:29:58Z,20.1,110520,107.93,lo,23764886,23764886,190.119,190.119
1777994999,2026-05-05T15:29:59Z,21.4,110520,107.93,lo,23750252,23750252,190.002,190.002
1777995000,2026-05-05T15:30:00Z,22.8,110520,107.93,lo,23724139,23724139,189.793,189.793
1777995001,2026-05-05T15:30:01Z,24.1,110520,107.93,lo,23734664,23734664,189.877,189.877
1777995002,2026-05-05T15:30:02Z,25.2,110520,107.93,lo,23758213,23758213,190.066,190.066
1777995003,2026-05-05T15:30:03Z,26.3,110520,107.93,lo,23747723,23747723,189.982,189.982
1777995004,2026-05-05T15:30:04Z,27.3,110520,107.93,lo,23776739,23776739,190.214,190.214
1777995005,2026-05-05T15:30:05Z,28.3,110520,107.93,lo,23757698,23757698,190.062,190.062
1777995006,2026-05-05T15:30:06Z,29.2,110520,107.93,lo,23779821,23779821,190.239,190.239
1777995007,2026-05-05T15:30:07Z,30.2,110520,107.93,lo,23727818,23727818,189.823,189.823
1777995008,2026-05-05T15:30:08Z,31.0,110520,107.93,lo,23717653,23717653,189.741,189.741
1777995009,2026-05-05T15:30:09Z,31.8,110520,107.93,lo,23772737,23772737,190.182,190.182
1777995010,2026-05-05T15:30:10Z,32.5,110520,107.93,lo,23839314,23839314,190.715,190.715
1777995011,2026-05-05T15:30:11Z,33.2,110520,107.93,lo,23715660,23715660,189.725,189.725
1777995012,2026-05-05T15:30:12Z,33.9,110520,107.93,lo,23782590,23782590,190.261,190.261
1777995013,2026-05-05T15:30:13Z,34.6,110520,107.93,lo,23727864,23727864,189.823,189.823
1777995014,2026-05-05T15:30:14Z,35.2,110520,107.93,lo,23768072,23768072,190.145,190.145
1777995015,2026-05-05T15:30:15Z,35.8,110520,107.93,lo,23779419,23779419,190.235,190.235
1777995016,2026-05-05T15:30:16Z,36.3,110520,107.93,lo,23800036,23800036,190.400,190.400
1777995017,2026-05-05T15:30:17Z,36.8,110520,107.93,lo,23706496,23706496,189.652,189.652
1777995018,2026-05-05T15:30:18Z,37.4,110520,107.93,lo,23731577,23731577,189.853,189.853
1777995019,2026-05-05T15:30:19Z,37.8,110520,107.93,lo,23874248,23874248,190.994,190.994
1777995020,2026-05-05T15:30:20Z,38.3,110520,107.93,lo,23769712,23769712,190.158,190.158
1777995021,2026-05-05T15:30:21Z,38.8,110520,107.93,lo,23756318,23756318,190.051,190.051
