epoch,iso8601,cpu_percent,rss_kb,rss_mb,net_device,rx_bps,tx_bps,rx_mbps,tx_mbps
1777991134,2026-05-05T14:25:34Z,1.1,11740,11.46,lo,0,0,0,0
1777991135,2026-05-05T14:25:35Z,1.2,11752,11.48,lo,1528640,1528640,12.229,12.229
1777991136,2026-05-05T14:25:36Z,1.2,11752,11.48,lo,1527145,1527145,12.217,12.217
1777991137,2026-05-05T14:25:37Z,1.2,11752,11.48,lo,1587389,1587389,12.699,12.699
1777991138,2026-05-05T14:25:38Z,1.2,11752,11.48,lo,1665345,1665345,13.323,13.323
1777991139,2026-05-05T14:25:39Z,1.3,11752,11.48,lo,1484278,1484278,11.874,11.874
1777991140,2026-05-05T14:25:40Z,1.3,11752,11.48,lo,1484933,1484933,11.879,11.879
1777991141,2026-05-05T14:25:41Z,1.3,11752,11.48,lo,1437947,1437947,11.504,11.504
1777991142,2026-05-05T14:25:42Z,1.3,11752,11.48,lo,1500079,1500079,12.001,12.001
1777991143,2026-05-05T14:25:43Z,1.4,11752,11.48,lo,1611833,1611833,12.895,12.895
1777991144,2026-05-05T14:25:44Z,1.4,11752,11.48,lo,1538199,1538199,12.306,12.306
1777991145,2026-05-05T14:25:45Z,1.4,11752,11.48,lo,1469405,1469405,11.755,11.755
1777991147,2026-05-05T14:25:47Z,1.4,11752,11.48,lo,744146,744146,5.953,5.953
1777991148,2026-05-05T14:25:48Z,1.5,11752,11.48,lo,1488085,1488085,11.905,11.905
1777991149,2026-05-05T14:25:49Z,1.5,11752,11.48,lo,1515520,1515520,12.124,12.124
1777991150,2026-05-05T14:25:50Z,1.5,11752,11.48,lo,1507206,1507206,12.058,12.058
1777991151,2026-05-05T14:25:51Z,1.5,11752,11.48,lo,1687189,1687189,13.498,13.498
1777991152,2026-05-05T14:25:52Z,1.5,11752,11.48,lo,1692956,1692956,13.544,13.544
1777991153,2026-05-05T14:25:53Z,1.6,11752,11.48,lo,1495157,1495157,11.961,11.961
1777991154,2026-05-05T14:25:54Z,1.6,11752,11.48,lo,1467904,1467904,11.743,11.743
1777991155,2026-05-05T14:25:55Z,1.6,11752,11.48,lo,1547693,1547693,12.382,12.382
1777991156,2026-05-05T14:25:56Z,1.6,11752,11.48,lo,1488161,1488161,11.905,11.905
1777991157,2026-05-05T14:25:57Z,1.6,11752,11.48,lo,1454607,1454607,11.637,11.637
1777991158,2026-05-05T14:25:58Z,1.7,11752,11.48,lo,1480709,1480709,11.846,11.846
1777991159,2026-05-05T14:25:59Z,1.7,11752,11.48,lo,1468061,1468061,11.744,11.744
1777991160,2026-05-05T14:26:00Z,1.7,11752,11.48,lo,1488911,1488911,11.911,11.911
1777991161,2026-05-05T14:26:01Z,1.7,11752,11.48,lo,1476857,1476857,11.815,11.815
1777991162,2026-05-05T14:26:02Z,1.7,11752,11.48,lo,1475813,1475813,11.807,11.807
1777991163,2026-05-05T14:26:03Z,1.8,11752,11.48,lo,1477545,1477545,11.820,11.820
1777991164,2026-05-05T14:26:04Z,1.8,11752,11.48,lo,1501329,1501329,12.011,12.011
1777991165,2026-05-05T14:26:05Z,1.8,11752,11.48,lo,834740,834740,6.678,6.678
1777991166,2026-05-05T14:26:06Z,1.8,12364,12.07,lo,4550466,4550466,36.404,36.404
1777991167,2026-05-05T14:26:07Z,1.9,12376,12.09,lo,6270046,6270046,50.160,50.160
1777991168,2026-05-05T14:26:08Z,2.0,12392,12.10,lo,6198604,6198604,49.589,49.589
1777991169,2026-05-05T14:26:09Z,2.1,12400,12.11,lo,6233161,6233161,49.865,49.865
1777991170,2026-05-05T14:26:10Z,2.2,12400,12.11,lo,6202788,6202788,49.622,49.622
1777991171,2026-05-05T14:26:11Z,2.2,12540,12.25,lo,6211316,6211316,49.691,49.691
1777991172,2026-05-05T14:26:12Z,2.3,12540,12.25,lo,6217823,6217823,49.743,49.743
1777991173,2026-05-05T14:26:13Z,2.4,12540,12.25,lo,6203002,6203002,49.624,49.624
1777991174,2026-05-05T14:26:14Z,2.5,12568,12.27,lo,6309515,6309515,50.476,50.476
1777991175,2026-05-05T14:26:15Z,2.5,12568,12.27,lo,6196698,6196698,49.574,49.574
1777991176,2026-05-05T14:26:16Z,2.6,12568,12.27,lo,6184632,6184632,49.477,49.477
1777991177,2026-05-05T14:26:17Z,2.7,12568,12.27,lo,6215996,6215996,49.728,49.728
1777991178,2026-05-05T14:26:18Z,2.8,12568,12.27,lo,6231003,6231003,49.848,49.848
1777991179,2026-05-05T14:26:19Z,2.8,12568,12.27,lo,6237458,6237458,49.900,49.900
1777991180,2026-05-05T14:26:20Z,2.9,12568,12.27,lo,6221623,6221623,49.773,49.773
1777991181,2026-05-05T14:26:21Z,3.0,12568,12.27,lo,6217563,6217563,49.741,49.741
1777991182,2026-05-05T14:26:22Z,3.1,12568,12.27,lo,6199532,6199532,49.596,49.596
1777991183,2026-05-05T14:26:23Z,3.1,12568,12.27,lo,6192784,6192784,49.542,49.542
1777991184,2026-05-05T14:26:24Z,3.2,12568,12.27,lo,6201612,6201612,49.613,49.613
1777991185,2026-05-05T14:26:25Z,3.3,12568,12.27,lo,6214605,6214605,49.717,49.717
1777991186,2026-05-05T14:26:26Z,3.3,12568,12.27,lo,6217824,6217824,49.743,49.743
1777991187,2026-05-05T14:26:27Z,3.4,12568,12.27,lo,6208766,6208766,49.670,49.670
1777991188,2026-05-05T14:26:28Z,3.5,12568,12.27,lo,6204674,6204674,49.637,49.637
1777991189,2026-05-05T14:26:29Z,3.5,12580,12.29,lo,6247214,6247214,49.978,49.978
1777991190,2026-05-05T14:26:30Z,3.6,12580,12.29,lo,6183186,6183186,49.465,49.465
1777991191,2026-05-05T14:26:31Z,3.6,12580,12.29,lo,6178501,6178501,49.428,49.428
1777991192,2026-05-05T14:26:32Z,3.7,12580,12.29,lo,6192838,6192838,49.543,49.543
1777991193,2026-05-05T14:26:33Z,3.8,12580,12.29,lo,6198931,6198931,49.591,49.591
1777991194,2026-05-05T14:26:34Z,3.8,12584,12.29,lo,6247344,6247344,49.979,49.979
1777991195,2026-05-05T14:26:35Z,3.9,12584,12.29,lo,4533826,4533826,36.271,36.271
1777991196,2026-05-05T14:26:36Z,3.9,12584,12.29,lo,262832,262832,2.103,2.103
1777991197,2026-05-05T14:26:37Z,3.8,12584,12.29,lo,325716,325716,2.606,2.606
1777991198,2026-05-05T14:26:38Z,3.8,12584,12.29,lo,301429,301429,2.411,2.411
1777991199,2026-05-05T14:26:39Z,3.9,13712,13.39,lo,3964961,3964961,31.720,31.720
1777991201,2026-05-05T14:26:41Z,4.0,13792,13.47,lo,6070552,6070552,48.564,48.564
1777991202,2026-05-05T14:26:42Z,4.2,13792,13.47,lo,12160725,12160725,97.286,97.286
1777991203,2026-05-05T14:26:43Z,4.3,13792,13.47,lo,12127617,12127617,97.021,97.021
1777991204,2026-05-05T14:26:44Z,4.5,13792,13.47,lo,12203782,12203782,97.630,97.630
1777991205,2026-05-05T14:26:45Z,4.6,13792,13.47,lo,12142208,12142208,97.138,97.138
1777991206,2026-05-05T14:26:46Z,4.8,13792,13.47,lo,12147716,12147716,97.182,97.182
1777991207,2026-05-05T14:26:47Z,4.9,13792,13.47,lo,12136329,12136329,97.091,97.091
1777991208,2026-05-05T14:26:48Z,5.1,13792,13.47,lo,12147517,12147517,97.180,97.180
1777991209,2026-05-05T14:26:49Z,5.2,13792,13.47,lo,12085771,12085771,96.686,96.686
1777991210,2026-05-05T14:26:50Z,5.4,13792,13.47,lo,12194700,12194700,97.558,97.558
1777991211,2026-05-05T14:26:51Z,5.5,13792,13.47,lo,12080062,12080062,96.640,96.640
1777991212,2026-05-05T14:26:52Z,5.7,13792,13.47,lo,12192361,12192361,97.539,97.539
1777991213,2026-05-05T14:26:53Z,5.8,13792,13.47,lo,12115336,12115336,96.923,96.923
1777991214,2026-05-05T14:26:54Z,5.9,13792,13.47,lo,12207671,12207671,97.661,97.661
1777991215,2026-05-05T14:26:55Z,6.1,13792,13.47,lo,12214347,12214347,97.715,97.715
1777991216,2026-05-05T14:26:56Z,6.2,13792,13.47,lo,12150022,12150022,97.200,97.200
1777991217,2026-05-05T14:26:57Z,6.3,13792,13.47,lo,12113303,12113303,96.906,96.906
1777991218,2026-05-05T14:26:58Z,6.5,13792,13.47,lo,12124722,12124722,96.998,96.998
1777991219,2026-05-05T14:26:59Z,6.6,13792,13.47,lo,12153661,12153661,97.229,97.229
1777991220,2026-05-05T14:27:00Z,6.7,13792,13.47,lo,12160068,12160068,97.281,97.281
1777991221,2026-05-05T14:27:01Z,6.9,13792,13.47,lo,12136771,12136771,97.094,97.094
1777991222,2026-05-05T14:27:02Z,7.0,13792,13.47,lo,12076622,12076622,96.613,96.613
1777991223,2026-05-05T14:27:03Z,7.1,13792,13.47,lo,12206573,12206573,97.653,97.653
1777991224,2026-05-05T14:27:04Z,7.3,13792,13.47,lo,12167700,12167700,97.342,97.342
1777991225,2026-05-05T14:27:05Z,7.4,13792,13.47,lo,12130876,12130876,97.047,97.047
1777991226,2026-05-05T14:27:06Z,7.5,13792,13.47,lo,12092491,12092491,96.740,96.740
