concurrency,inference_events,storage_operations,wall_clock_ms,inference_events_per_sec,storage_operations_per_sec,whole_mix_p50_latency_ms,whole_mix_p99_latency_ms,queueing_observed,path,op_count,throughput_ops_per_sec,p50_latency_ms,p99_latency_ms,total_latency_ms,latency_share_percent
1,4,20,32,125,625,7,11,false,inferenceMeteringWrite,4,125,5,7,20,14.285714285714285
1,4,20,32,125,625,7,11,false,walletReserve,4,125,7,8,25,17.857142857142858
1,4,20,32,125,625,7,11,false,usageRollupUpdate,4,125,7,11,31,22.142857142857142
1,4,20,32,125,625,7,11,false,assetRead,4,125,8,11,32,22.857142857142858
1,4,20,32,125,625,7,11,false,requestLogWrite,4,125,8,11,32,22.857142857142858
4,16,80,99,161.6161616161616,808.0808080808081,22,29,true,inferenceMeteringWrite,16,161.6161616161616,20,27,308,19.012345679012345
4,16,80,99,161.6161616161616,808.0808080808081,22,29,true,walletReserve,16,161.6161616161616,21,27,310,19.1358024691358
4,16,80,99,161.6161616161616,808.0808080808081,22,29,true,usageRollupUpdate,16,161.6161616161616,21,28,316,19.50617283950617
4,16,80,99,161.6161616161616,808.0808080808081,22,29,true,assetRead,16,161.6161616161616,22,28,323,19.938271604938272
4,16,80,99,161.6161616161616,808.0808080808081,22,29,true,requestLogWrite,16,161.6161616161616,23,29,363,22.407407407407405
8,32,160,268,119.40298507462686,597.0149253731342,61,102,true,inferenceMeteringWrite,32,119.40298507462686,58,101,1821,19.05609041439933
8,32,160,268,119.40298507462686,597.0149253731342,61,102,true,walletReserve,32,119.40298507462686,57,102,1854,19.401423189619088
8,32,160,268,119.40298507462686,597.0149253731342,61,102,true,usageRollupUpdate,32,119.40298507462686,61,102,1894,19.820008371703643
8,32,160,268,119.40298507462686,597.0149253731342,61,102,true,assetRead,32,119.40298507462686,64,102,1959,20.500209292591045
8,32,160,268,119.40298507462686,597.0149253731342,61,102,true,requestLogWrite,32,119.40298507462686,64,106,2028,21.2222687316869
16,64,320,345,185.50724637681162,927.536231884058,73,133,true,inferenceMeteringWrite,64,185.50724637681162,69,133,4713,19.53656110097828
16,64,320,345,185.50724637681162,927.536231884058,73,133,true,walletReserve,64,185.50724637681162,71,133,4755,19.710661581827228
16,64,320,345,185.50724637681162,927.536231884058,73,133,true,usageRollupUpdate,64,185.50724637681162,72,134,4801,19.901343060852263
16,64,320,345,185.50724637681162,927.536231884058,73,133,true,assetRead,64,185.50724637681162,73,134,4873,20.199801028021888
16,64,320,345,185.50724637681162,927.536231884058,73,133,true,requestLogWrite,64,185.50724637681162,74,139,4982,20.651633228320346
